,text
89,"place-names are marked in arabic, map 1 a section of the world map drawn by the geographer al-idrisi in the twelfth century showing the indian subcontinent from land to sea"
90,and there are some well-known names like kanauj in uttar pradesh (spelt in the map as qanauj)
91,"map 2 was made nearly 600 years after map 1, during which time information about the subcontinent had changed considerably"
92,this map was used by european sailors and merchants on their voyages (see )
93,follow the course of the river ganga and see how it is shown
94,why do you think there is a difference in the level of detail and accuracy between the coastal and inland areas in this map
95,the difference is not just with regard to grammar and vocabulary; the meanings of words also change over time
96,the areas included in this term shifted with the extent of the sultanate but the term never included south india
97,"by contrast, in the early sixteenth century babur used hindustan to describe the geography, the fauna and the culture of the inhabitants of the subcontinent"
98,historians today have to be careful about the terms they use because they meant different things in the past
99,it is used today to mean someone who is not an indian
100,in can you think of any other words whose meanings change in different tracing changes..
101,historians and their sources historians use different types of sources to learn about the past depending upon the period of their study and the nature of their investigation
102,"in this book we will read about the following thousand years, from roughly 700 to you will notice some continuity in the sources used by historians for the study of this period"
103,the number and variety of textual records increased dramatically during this period
104,through this period paper gradually became cheaper and more the value of paper compare the following: in the middle of the thirteenth century a scholar wanted to copy a book
105,"so he washed the writing off a manuscript he did not want, dried the paper and used it"
106,"a century later, if you bought some food in the market you could be lucky and have the shopkeeper wrap it for you in some paper"
107,when was paper more expensive and easily available – in the thirteenth or the fourteenth century
108,these manuscripts and documents provide a lot of detailed information to historians but they are also difficult to use
109,there was no printing press in those days so scribes copied manuscripts by hand
110,"as scribes copied manuscripts, they also introduced small changes – a word here, a sentence there"
111,these small differences grew over centuries of copying until manuscripts of the a place where documents and manuscripts are stored
112,1 a painting of a scribe making a copy of a manuscript
113,miniature paintings were sometimes used to illustrate the texts of manuscripts
114,they were so beautiful that later collectors often took the manuscripts apart and sold just the tracing changes..
115,2 different kinds of handwriting could make the reading of persian and arabic difficult
116,"the nastaliq style (on the left) is cursive and easy to read, the shikaste (on the right) is denser and more difficult"
117,this is a serious problem because we rarely find the original manuscript of the author today
118,we are totally dependent upon the copies made by later scribes
119,as a result historians have to read different manuscript versions of the same text to guess what the author had originally written
120,the two differ from each other but historians did not know about the existence of the first version until the 1960s
121,"new foods and beverages arrived in the subcontinent – potatoes, corn, chillies, tea and coffee"
122,"as a result, this was a period of economic, political, social and cultural changes"
123,"you will learn about some of these changes in chapters 5, 6 and this was also a period of great mobility"
124,"one group of people who became important in this period were the rajputs, a name derived from “rajaputra”, the son of a ruler"
125,between the eighth and fourteenth centuries the term was applied more generally to a group of warriors who claimed kshatriya caste status
126,"throughout this period there was a gradual clearing of forests and the extension of agriculture, a change faster and more complete in some areas than in others"
127,"these new peasant groups gradually began to be influenced by regional markets, chieftains, priests, monasteries and temples"
128,"as society became more differentiated, people were grouped into jatis or sub-castes and ranked on the basis of their backgrounds and their occupations"
129,the status of the same jati could vary from area to area
130,"these regulations were enforced by an assembly of elders, described in some areas as the jati panchayat"
131,but jatis were also required to follow the rules of their villages
132,refers to the environment of a region and the social and economic lifestyle of its residents
133,"of the economic, social and cultural described in this section, which do you think were most significant in the town or village in which you live"
134,historians map 3 provinces of the delhi sultanate during muhammad tughluq’s reign according to the egyptian source masalik al-absar fi mamalik al-amsar of shihabuddin umari
135,why do you think rulers made such regard these as exaggerated claims of conquests
136,amir khusrau went on to explain that in contrast to these languages there was sanskrit which did not belong to any region
137,"it was an old language and “common people do not know it, only the brahmanas do”"
138,prepare another list of the names of languages spoken today in the regions he mentioned
139,underline names that are similar and circle those that are different
140,did you notice that the names by which languages are known have changed over time
141,"but years of imperial, pan-regional rule had altered the character of the regions"
142,across most of the subcontinent the regions were left with the legacies of the big and small states that had ruled over them
143,through the thousand years between 700 and 1750 the character of the different regions did not grow in isolation
144,these regions felt the impact of larger pan-regional forces of integration without ever quite losing their distinctiveness
145,old and new religions the thousand years of history that we are exploring witnessed major developments in religious traditions
146,as the social worlds of these groups altered so too did their beliefs
147,"these included the worship of new deities, the construction of temples by royalty and the growing importance of brahmanas, the priests, as dominant groups in society"
148,"you will be learning about this, and other traditions, in chapter find out whether and for how long your state was part of these pan- regional empires"
149,"do you remember what amir khusrau had to say regarding sanskrit, knowledge and brahmanas"
150,"an influential, wealthy individual who supports another person – an artiste, a craftsperson, a learned man, or a noble"
151,"muslims regard the quran as their holy book and accept the sovereignty of the one god, allah, whose love, mercy and bounty embrace all those who believe in him, without regard to social background"
152,many rulers were patrons of islam and the ulama – learned theologians and jurists
153,"there were the shia muslims who believed that the prophet muhammad’s son-in-law, ali, was the legitimate leader of the muslim community, and the sunni muslims who accepted the authority of the early leaders (khalifas) of the community, and the succeeding khalifas"
154,the study of time is made somewhat easier by dividing the past into large segments – periods – that possess shared characteristics
155,such a division also ignored the rich diversity of the subcontinent
156,most look to economic and social factors to characterise the major elements of different moments of the past
157,the histories you will be studying this year are often described as “medieval”
158,"moreover, the “medieval” period is often contrasted with the “modern” period"
159,“modernity” carries with it a sense of material progress and intellectual advancement
160,this seems to suggest that the medieval period was lacking in any change whatsoever
161,during these thousand years the societies of the subcontinent were transformed often and economies in several regions reached a level of prosperity that attracted the interest of european trading companies
162,"as you read this book, look out for signs of change and the historical processes at work"
163,state whether true or false: we do not find inscriptions for the period after the marathas asserted their political importance during this period
164,"forest-dwellers were sometimes pushed out of their lands with the spread of agricultural sultan ghiyasuddin balban controlled assam, manipur and kashmir"
165,"fill in the blanks: archives are places where ——————— are —————— was a fourteenth-century ——, ———, ———, ——— and ——— were some of the new crops introduced into the subcontinent during this period"
166,let’s understand in what ways has the meaning of the term “hindustan” changed over the centuries
167,"let’s do compare either map 1 or map 2 with the present-day map of the subcontinent, listing as many similarities and differences as you can find"
168,peasant and zamindari rebellions in many parts of northern and western india added to these problems
169,these revolts were sometimes caused by the pressures of mounting taxes
170,mughal authority had been challenged by rebellious groups in the past as well
171,"so complete is the collapse of all order and administration that though the peasant reaps a harvest of gold, his lord does not see so much as a wisp of straw"
172,how then can the lord keep the armed force he should
173,"how can he pay the soldiers who should go before him when he goes out, or the horsemen who should ride behind him"
174,"one described the wealth looted from the mughal treasury as follows: sixty lakhs of rupees and some thousand gold coins, nearly one crore worth of gold-ware, nearly fifty crores worth of jewels, most of them unrivalled in the world, and the above included the peacock throne"
175,"(nadir shah) then attacked the old quarters of the city and destroyed a whole world that existed there … already under severe pressure from all sides, the empire was further weakened by competition amongst different groups of nobles"
176,"they were divided into two major groups or factions, the iranis and turanis (nobles of turkish descent)"
177,"the last group included states under the control of marathas, sikhs and others like the jats"
178,all three had occupied high mansabdari positions and enjoyed the trust and confidence of the emperors
179,"he was entrusted first with the governorship of awadh, and later given charge of the deccan"
180,asaf jah brought skilled soldiers and administrators from northern india who welcomed the new opportunities in the south
181,"although he was still a servant of the mughal emperor, he ruled quite independently without seeking any direction from delhi or facing any interference"
182,the mughal emperor merely confirmed the decisions already taken by the nizam-ul-mulk asaf jah
183,the ambitions of the nizam-ul-mulk asaf jah to control the rich textile-producing areas of the coromandel coast in the east were checked by the british who were becoming increasingly powerful in that region (see map 2)
184,"in trying to consolidate their rule, why did mughal subadars also want to control the office of diwan"
185,it sold the right to collect tax to the highest bidders
186,"bengal gradually broke away from mughal control under murshid quli khan who was appointed as the naib, deputy to the governor of the province"
187,like the rulers of hyderabad and awadh he also commanded the revenue administration of the state
188,"as a result, many zamindars had to borrow money from bankers and moneylenders"
189,those unable to pay were forced to sell their lands to larger zamindars
190,"first, though many of the larger states were established by erstwhile mughal nobles they were highly suspicious of some of the administrative systems that they had inherited, in particular the jagirdari system"
191,the third common feature in all these regional states was their emerging relationship with rich bankers and merchants
192,throughout india the richest merchants and bankers were gaining a stake in the new political order
193,"in exchange, they were permitted to enjoy considerable autonomy in their watan jagirs"
194,"in the eighteenth century, these rulers now attempted to extend their control over adjacent regions"
195,"ajit singh, the ruler of jodhpur, was also involved in the factional politics at the mughal court"
196,"rana pratap ascended the throne at mewar in 1572, with udaipur and large part of mewar under his control"
197,raja jai singh of jaipur a description of raja jai singh in a persian account of raja jai singh was at the height of his power
198,he was the governor of agra for 12 years and of malwa for 5 or 6 years
199,his sway extended from delhi to the banks of the narmada
200,seizing independence the sikhs the organisation of the sikhs into a political community during the seventeenth century (see ) helped in regional state-building in the punjab
201,their combined forces were known as the grand army (dal khalsa)
202,the sikh territories in the late eighteenth century extended from the indus to the jamuna but they were divided under different rulers
203,shivaji () carved out a stable kingdom with the support of powerful warrior families (deshmukhs)
204,shivaji used these forces to challenge the mughals in the peninsula
205,"after shivaji’s death, effective power in the maratha state was wielded by a family of chitpavan brahmanas who served shivaji’s successors as peshwa (or principal minister)"
206,7a portrait of shivaji towards the end of the 17th century a powerful state started emerging in the deccan under the leadership of shivaji which finally led to the establishment of the maratha state
207,"shivaji was born to shahji and jija bai at shivneri in under the guidance of his mother and his guardian dada konddev, shivaji embarked on a career of conquest at a young age"
208,the occupation of javli made him the undisputed leader of the mavala highlands which paved the way for further expansion
209,his exploits against the forces of bijapur and the mughals made him a legendary figure
210,it gradually chipped away at the authority of the mughal empire
211,malwa and gujarat were seized from the mughals by the 1720s
212,"by the 1730s, the maratha king was recognised as the overlord of the entire deccan peninsula"
213,he possessed the right to levy chauth and sardeshmukhi in the entire region
214,these military campaigns also made other rulers hostile towards the marathas
215,"as a result, they were not inclined to support the marathas during the third battle of panipat in alongside endless military campaigns, the marathas developed an effective administrative system as well"
216,maratha campaigns into malwa in the 1720s did not challenge the growth and prosperity of the cities in the region
217,"the silk produced in the chanderi region now found a new outlet in poona, the maratha capital"
218,the jats like the other states the jats consolidated their power during the late seventeenth and eighteenth-centuries
219,for a while they became the virtual custodians of the city of agra
220,"when nadir shah sacked delhi in 1739, many of the city’s notables took refuge there"
221,suraj mal built a number of forts and palaces and the famous lohagarh fort in bharatpur is regarded as one of the strongest forts built in this region
222,note the “bangla dome” on the assembly hall on the roof of the building
223,"while the bharatpur fort was built in a fairly traditional style, at dig the jats built an elaborate garden palace combining styles seen at amber and agra"
224,its buildings were modelled on architectural forms first associated with royalty under shah jahan (see figure 12 in chapter 5 and figure 12 in )
225,"the french revolution () in the various state systems of eighteenth-century india, the common people did not enjoy the right to participate in the affairs of their governments"
226,they also held that the authority of the government should come from the people who must possess the right to participate in its affairs
227,movements such as the french and american revolutions gradually transformed subjects into citizens
228,"the ideas of citizenship, nation-state and democratic rights took root in india from the late nineteenth century"
229,asaf jah founded the hyderabad state in the founder of the awadh state was state whether true or false: nadir shah invaded bengal
230,poona became the capital of the marathas in the eighteenth century
231,do you think merchants and bankers today have the kind of influence they had in the eighteenth century
232,"collect popular tales about-rulers from any one of the following groups of people: the rajputs, jats, sikhs or marathas"
233,the making of regional cultures one of the commonest ways of describing people is in terms of the language they speak
234,sometimes we take these identities for granted and assume that they have existed from time immemorial
235,"as we will see, some traditions appear specific to some regions, others seem to be similar across regions, and yet others derive from older practices in a particular area, but take a new form in other regions"
236,find out how many states have been created in the last 10 years
237,"interestingly enough, a fourteenth-century text, the lilatilakam, dealing with grammar and poetics, was composed in manipravalam – literally, “diamonds and corals” referring to the two languages, sanskrit and the regional language"
238,"the best example of this process is the cult of jagannatha (literally, lord of the world, a name for vishnu) at puri, orissa"
239,"subsequently, in 1230, king anangabhima iii dedicated his kingdom to the deity and proclaimed himself as the “deputy” of the god"
240,find out when the language you speak at home were first used for writing
241,"and of course, there are several peoples other than rajputs who live in rajasthan"
242,"however, the rajputs are often recognised as contributing to the distinctive culture of rajasthan"
243,"sometimes, they figure as the “cause” for conflicts, as men fought with one another to either “win” or “protect” women"
244,find out whether there are traditions of in your town or village
245,in what ways are these similar to or different from the heroic ideals of the rajputs
246,"beyond regional frontiers: the story of kathak if heroic traditions can be found in different regions in different forms, the same is true of dance"
247,"the legends of radha-krishna were enacted in folk plays called rasa lila, which combined folk dance with the basic gestures of the kathak story-tellers"
248,"however, it survived and continued to be performed by courtesans, and was recognised as one of six “classical” forms of dance in the country after independence"
249,“classical” dances the question of defining any art form as “classical” is often quite complicated
250,do we define something as classical if it deals with a religious theme
251,"some of the most beautiful of these, found in western india, were used to illustrate jaina texts"
252,by the late seventeenth century this region had developed a bold and intense style of miniature painting called basohli
253,the most popular text to be painted here was bhanudatta’s rasamanjari
254,during the fourth century the gupta rulers established political control over north bengal and began to settle brahmanas in this area
255,"thus, the linguistic and cultural influence from the mid-ganga valley became stronger"
256,"in 1586, when akbar conquered bengal, it formed the nucleus of the bengal suba"
257,"while persian was the language of administration, bengali developed as a regional language"
258,officials and functionaries received land and often set up mosques that served as centres for religious transformation in these areas
259,the cult of pirs became very popular and their shrines can be found everywhere in bengal
260,"in some temples, particularly in vishnupur in the bankura district of west bengal, such decorations reached a high degree of excellence"
261,these and other similar developments created the consciousness among the people that each linguistic community was a separate nation
262,name a book written in that who were the major patrons of kathak
263,what are the important architectural features of the temples of bengal
264,"choose one state each from north, west, south, east and central india"
265,"for each of these, prepare a list of foods that are commonly consumed, highlighting any differences and similarities that you notice"
266,it was under the tomaras and chauhans that delhi became an important commercial centre
267,many rich jaina merchants lived in the city and constructed several temples
268,take a look at table 1 again and identify the five dynasties that together made the delhi sultanate
269,do you think the circle of justice is an appropriate term to describe the relationship between the king and his subjects
270,the circle of justice fakhr-i mudabbir wrote in the thirteenth century: a king cannot survive without soldiers
271,they often wrote their histories for sultans in the hope of rich rewards
272,these authors advised rulers on the need to preserve an “ideal” social order based on birthright and gender distinctions
273,"the chronicler of the age, minhaj-i siraj, recognised that she was more able and qualified than all her brothers"
274,but he was not comfortable at having a queen as ruler
275,nor were the nobles happy at her attempts to rule independently
276,rudramadevi changed her name on her inscriptions and pretended she was a man
277,"her title is interesting: it comes from “didi” or “elder sister”, an obviously affectionate term given to a loved ruler by her subjects"
278,why do you think it was so difficult for a woman to be a ruler
279,controlling garrison towns in distant bengal and sind from delhi was extremely difficult
280,its consolidation occurred during the reign of ghiyasuddin balban and further expansion under alauddin khalji and muhammad tughluq
281,the first set of campaigns along the “internal frontier” of the sultanate aimed at consolidating the hinterlands of the garrison towns
282,during these campaigns forests were cleared in the ganga-yamuna doab and hunter- gatherers and pastoralists expelled from their habitat
283,"new fortresses, garrison towns and towns were established to protect trade routes and to promote regional trade"
284,"by the end of muhammad tughluq’s reign, 150 years after somewhat humble beginnings, the armies of the delhi sultanate had marched across a large part of the subcontinent"
285,the sultanate collected taxes from the peasantry and dispensed justice in its realm
286,but how complete and effective was its control over such a vast territory
287,"2 quwwat al-islam mosque and minaret, built during the last decade of the twelfth century"
288,"this was the congregational mosque of the first city built by the delhi sultans, described in the chronicles as dehli-i- kuhna (the old city)"
289,the minar was built by two sultans: qutbuddin aybak and fig
290,"3 begumpuri mosque, built in the reign of muhammad tughluq, was the main mosque of jahanpanah, the “sanctuary of the world”, his new capital in delhi"
291,"see map our pasts – ii the masjid a mosque is called a masjid in arabic, literally a place where a muslim prostrates in reverence to allah"
292,"members of the congregation choose the most respected, learned male as their leader (imam) for the rituals of prayer"
293,"4 moth ki masjid, built in the reign of sikandar lodi by his who shared a belief system and a code of conduct"
294,"the mosques in figures 3, 4 and 5 show an evolution in architectural tradition that culminates in shah jahan’s mosque in delhi (see fig"
295,"since they were totally dependent upon their master, the sultan could trust and rely upon them"
296,wise men have said that a worthy and experienced slave is better than a son … can you think of any reason why a slave would be better than a son
297,"slaves and clients were loyal to their masters and patrons, but not to their heirs"
298,the patronage of these humble people by the delhi sultans also shocked many elites and the authors of persian tawarikh criticised the delhi sultans for appointing the “low and base-born” to high offices
299,these lands were called iqta and their holder was called iqtadar or muqti
300,control over muqtis was most effective if their office was not inheritable and if they were assigned iqtas for a short period of time before being shifted
301,accountants were appointed by the state to check the amount of revenue collected by the muqtis
302,care was taken that the muqti collected only the taxes prescribed by the state and that he kept the required number of soldiers
303,under alauddin khalji the state brought the assessment and collection of land revenue under its own control
304,it is important to remember that large parts of the subcontinent remained outside the control of the delhi sultans
305,"chieftains and their fortifications ibn battuta, a fourteenth-century traveller from morocco, africa, explained that chieftains sometimes fortified themselves in mountains, in rocky, uneven and rugged places as well as in bamboo groves"
306,"its several parts are so intertwined that even fire cannot affect them, and they are on the whole very strong"
307,describe the ways in which the chieftains arranged for their defence
308,this forced the two rulers to mobilise a large standing army in delhi which posed a huge administrative challenge
309,tax was fixed at 50 per cent of the peasant’s yield
310,"rather than constructing a new garrison town, the oldest of the four cities of delhi (dehli-i kuhna) was emptied of its residents and the soldiers garrisoned there"
311,the residents of the old city were sent to the new capital of daulatabad in the south
312,produce from the same area was collected as tax to feed the army
313,they were very smart: they saved their gold and silver coins and paid all their taxes to the state with this token currency
314,the raising of taxes and famine in the ganga-yamuna belt led to widespread rebellion
315,the sultanate in the fifteenth and sixteenth centuries take a look at table 1 again
316,this was also the period which saw the emergence of new ruling groups like the afghans and the rajputs
317,some of the states established in this period were small but powerful and extremely well administered
318,these campaigns in the service of god and the church completely altered the status of knights
319,"by the twelfth century, nobles also wanted to be known as knights"
320,you are a peasant in alauddin khalji’s or muhammad tughluq’s reign and you cannot pay the taxes demanded by the sultan
321,let’s recall which ruler first established his or her capital at delhi
322,what is meant by the “internal” and “external” frontiers of the sultanate
323,why do you think they may have wanted to defy the orders of the sultans
324,what was the impact of the mongol invasions on the delhi sultanate
325,raziyya sultan was unique in the history of the delhi sultanate
326,"from the latter half of the sixteenth century they expanded their kingdom from agra and delhi, until in the seventeenth century they controlled nearly all of the subcontinent"
327,"they imposed structures of administration and ideas of governance that outlasted their rule, leaving a political legacy that succeeding rulers of the subcontinent could not ignore"
328,"today the prime minister of india addresses the nation on independence day from the ramparts of the red fort in delhi, the residence of the mughal emperors"
329,"from their father’s side they were the successors of timur (died 1404), the ruler of iran, iraq and modern-day turkey"
330,"however, the mughals did not like to be called mughal or mongol"
331,"2 a miniature painting (dated ) of timur, his descendants and the mughal emperors"
332,timur is in the centre and on his right is his son miran shah (the first mughal emperor babur’s great-great- grandfather) and then abu said (babur’s grandfather)
333,to the left of timur are sultan muhammad mirza (babur’s great-grandfather) and umar shaikh (babur’s father)
334,"the mughal emperors babur, akbar and shah jahan are the third, fourth and fifth individuals on timur’s right and on his left, in the same order, are humayun, jahangir and aurangzeb"
335,do you think this painting suggests that the mughals claimed kingship as a birthright
336,gun powder technology was brought to india for warfare in the 14th century
337,mughal relations with other rulers take a look at table 1 once again
338,many of them married their daughters into mughal families and received high positions
339,the careful balance between defeating but not humiliating their opponents enabled the mughals to extend their influence over many kings and chieftains
340,but it was difficult to keep this balance all the time
341,look at table 1 again – note that aurangzeb insulted shivaji when he came to accept mughal authority
342,rank and salary were determined by a numerical value called zat
343,"the higher the zat, the more prestigious was the noble’s position in court and the larger his salary"
344,"the mansabdar brought his cavalrymen for review, got them registered, their horses branded and then received money to pay them as salary"
345,by aurangzeb’s reign this was no longer the case and the actual revenue collected was often less than the granted sum
346,"there was also a huge increase in the number of mansabdars, which meant a long wait before they received a jagir"
347,zabt and zamindars the main source of income available to mughal rulers was tax on the produce of the peasantry
348,"in most places, peasants paid taxes through the rural elites, that is, the headman or the local chieftain"
349,it was prevalent in those areas where mughal administrators could survey the land fig
350,this was not possible in provinces such as gujarat and bengal
351,in some areas the zamindars exercised a great deal of power
352,sometimes zamindars and peasants of the same caste allied in rebelling against mughal authority
353,"akbar nama and ain-i akbari akbar ordered one of his close friends and courtiers, abul fazl, to write a history of his reign"
354,"abul fazl wrote a three-volume history of akbar’s reign, titled akbar nama"
355,it also provides rich details about the traditions and culture of the people living in india
356,"a closer look: akbar’s policies the broad features of administration were laid down by akbar and were elaborately discussed by abul fazl in his book, the akbar nama, in particular in its last volume, the ain-i akbari"
357,"abul fazl explained that the empire was divided into provinces called subas, governed by a subadar who carried out both political and military functions"
358,nur jahan’s influence in jahangir’s court mehrunnisa married the emperor jahangir in 1611 and received the title nur jahan
359,"the round seal states, “by the sun of shah jahangir she became as brilliant as the moon; may nur jahan padshah be the lady of the age”"
360,akbar’s nobles commanded large armies and had access to large amounts of revenue
361,their loyalties to the empire were weakened by their own self-interest
362,he was interested in the religion and social customs of different people
363,akbar’s interaction with people of different faiths made him realise that religious scholars who emphasised ritual and dogma were often bigots
364,9 akbar holding discussions with learned individuals of different faiths in the ibadat khana
365,led akbar to the idea of sulh-i kul or “universal peace”
366,this idea of tolerance did not discriminate between people of different religions in his realm
367,"instead it focused on a system of ethics – honesty, justice, peace – that was universally applicable"
368,sunnis and shias met in one mosque and christians and jews in one church to pray
369,this expenditure benefited the artisans and peasantry who supplied them with goods and produce
370,"the wealthier peasantry and artisanal groups, the merchants and bankers profited in this economic world"
371,"as the authority of the mughal emperor slowly declined, his servants emerged as powerful centres of power in the regions"
372,"later, in the seventeenth century, when public order declined in the ottoman domains, the reign of suleyman qanuni was remembered as a period of ideal governance"
373,"find out more about akbar’s other contemporaries – the ruler of england, queen elizabeth i (); the safavid ruler of iran, shah abbas (); and the more controversial russian ruler, czar ivan iv vasilyevich, also called “ivan the terrible” ()"
374,(remember babur and akbar were about your age when they became rulers)
375,"if zat determined a mansabdar’s rank and salary, sawar indicated his"
376,what were the central provinces under the control of the mughals
377,has the gap in the income between the rich and the poor in india changed a great deal from the period of the mughals
378,"find out if it had any impact in the city, village or region in which you live"
379,map 1 shows the major ruling dynasties in different parts of the subcontinent between the seventh and twelfth centuries
