,text
71,"from 8th-18th century bhakti movement, islam and sufi movement played an important role in the history of medieval india"
72,the alvars and the nayanars were considered as the founder of bhakti movement in southern india
73,"the alvars were the devotees of lord vishnu, while the nayanars followed shaivism"
74,both alvars and nayanar strongly criticised the social and religious malpractices prevalent in the society
75,two women saints-andal of alvars and karaikkal of ammaiyar of nayanars played a valuable role in giving a new direction to the society
76,"the cholas, pallavas, and chalukya patronised both alvar and nayanar cult"
77,basavanna founded virashaivas or lingayats in karnataka and played a valuable role in the development of his cult
78,islam was founded by prophet muhammad in 7th century in azabia
79,according to muslim tradition quran is the compilation of those message which god (allah) had sent to prophet muhammad between 610-632 at mecca and madina through his envoy archangel jibris
80,during medieval period in india sufism emerged as a powerful movement.sufis were so called because of the purity (safa) of their hearts
81,some others are of the views that sufi’s were called so because of their habit of wearing wool (suf)
82,"unity in god, complete self-surrender, charity, ibadat, love for mankinds, etc"
83,"bakhtiyar kaki, fariduddin gunj-i shakar, and shaikh nizamuddin auliya are some of the prominent sufi shaikhs in india"
84,its main objective was to seek the spiritual grace from the sufi
85,the sufis believed that music and dance evoke divine ecstasy in human heart
86,the devotional worship of god with the ultimate objective of attaining moksha is called bhakti
87,the word bhakti was derived from the root ‘bhaj’ meaning to adore
88,the bhaktis who were against the worship of avatars and idol worship are known as saints
89,"kabir, guru nanak dev ji and successor of guru nanak dev ji are the prominent bhakti saints"
90,the impact of the bhakti movement on the indian society was significant and far-reaching
91,"a variety of religious structures like stupas, monastries, temples are found in the sub-continent by the mid-first millennium ce"
92,"textual resources like the puranas, music in different regional languages, hagiographies of saints were also found"
93,these sources provide us with insight into a dynamic and diverse scenario
94,various religious beliefs and practices: a wide range of gods and goddesses were found in sculpture as well as in texts
95,"puranic texts were composed and complied in simple sanskrit language which could be accessible to women and shudras, who were generally deprived of vedic learning"
96,many beliefs and practices were shaped through continuous mingling of puranic traditions with local traditions
97,jagannatha cult of odisha was the local deity made of wood by local tribal specialists and recognised as a form of vishnu
98,"the local deities were often incorporated within the puranic framework, by providing them with an identity as wife of the principal deities"
99,"they were equated with lakshmi, wife of vishnu, or parvati, wife of shiva"
100,"the principal deities of the vedic pantheon agni, indra and soma were rarely visible in textual or visual representations"
101,the singing and chanting of devotional composition became a mode of worship particularly true for the vaishnava and shaiva sects
102,early traditions of bhakti: historians classified bhakti traditions into two broad categories i.e
103,"in the sixth century, bhakti movements were led by alvars (devotees of vishnu) and nayanars (devotees of shiva)"
104,"during their travels, the alvars and nayanars identified certain shrines and later large temples were built at these places"
105,historians suggested that the alvars and nayanars initiated a movement of protest against the caste system
106,nalayira divyaprabandham composed by the alvars was described as the tamil veda
107,"women devotees like andal, karaikkal ammariyar composed devotional music which posed a challenge to patriarchal norms"
108,"under the patronage of the chola rulers, large and magnificent temples were constructed at chidambaram, thanjavur and gangai kondacholapuram"
109,tamil shaiva hymns were sung in the temples under royal patronage
110,the virashaiva tradition in karnataka: a new movement emerged in karnataka led by a brahmana named basavanna in the 12th century’
111,his followers were known as virashaivas (heroes of shiva) or lingayats (wearers of lingas)
112,lingayats continue to be an important community in the region to date
113,"the lingayats challenged the idea of caste, pollution, theory of rebirth etc and encouraged post-puberty marriage and the remarriage of widows"
114,our understanding of the virashaiva tradlition is derived from vachanas (literally sayings) composed in kannada by women and men who joined the movement
115,the virashaiva tradition in karnataka: a new movement emerged in karnataka led by a brahmana named basavanna in the 12th century’
116,his followers were known as virashaivas (heroes of shiva) or lingayats (wearers of lingas)
117,lingayats continue to be an important community in the region to date
118,"the lingayats challenged the idea of caste, pollution, theory of rebirth etc and encouraged post-puberty marriage and the remarriage of widows"
119,our understanding of the virashaiva tradlition is derived from vachanas (literally sayings) composed in kannada by women and men who joined the movement
120,"emergence of islamic traditions: in the 13th century, turk and afghans invaded india and established the delhi sultanate"
121,"theoretically, muslim rulers were to be guided by the ulama and followed the rules of shari’a"
122,non-muslims had to pay a tax called jizya and gained the right to be protected by muslim rulers
123,"several mughal rulers including akbar and aurangzeb gave land endowments and granted tax exemptions to hindu, jaina, zoroastrian, christian and jewish religious institutions"
124,"all those who adopted islam accepted the five pillars of the faith that are: there is one god, allah, and prophet muhammad is his messenger"
125,people were occasionally identified in terms of the region from which they came
126,"migrant communities often termed as mlechchha meant that they did not observe the norms of caste, society and spoke languages that were not derived from sanskrit"
127,"the growth of sufism: in the early centuries of islam, a group of religious minded people called sufis turned to asceticism and mysticism in protest against the growing materialism of the caliphate"
128,sufis were critical of the dogmatic definitions and scholastic methods of interpreting the quran and sought an interpretation of it on the basis of their personal experience
129,"by the 11th century, sufism evolved into a well developed movement"
130,"the suits began to organise communities around the hospice or khanqah (persian) controlled by a teaching master known as shaikh, pir or murshid"
131,"sufi silsila means a chain, signifying a continuous link between master and disciple, stretching as an unbroken spiritual genealogy to the prophet muhammad"
132,"when shaikh died, his tomb-shrine (dargah) became the centre of devotion for his followers and practice of pilgrimage or ziyarat to his grave, particularly on death anniversary or urs (or marriage, signifying the union of his soul with god) started"
133,the chishtis in the sub-continent: the chishtis were the most important group of sufis who migrated to india
134,shaikh nizamuddin’s hospice on the banks of river yamuna in ghiyaspur in the fourteenth century was very famous
135,the shaikh lived here and met visitors in the morning and evening
136,there was an open kitchen (langar) and people from all walks of life came here from morning till late night
137,"visitors who came here included amir hasan sijzi, amir khusrau and ziyauddin barani"
138,it was a practice for seeking the sufis spiritual grace (barakat)
139,"the most revered shrine was ‘gharib nawaz’, the shrine of khwaja muinuddin at ajmer"
140,emperor akbar visited several times and constructed a mosque within the compound of dargah
141,specially trained musicians or qawwals performed music and dance to evoke divine ecstasy
142,baba farid’s compositions in the local language were incorporated in the guru granth sahib
143,"in karnataka, the sufis were inspired by the pre-existing bhakti traditions and composed dakhani, lurinama (lullabies) and shadinama (wedding songs)"
144,sultans of delhi always preferred the sufis although there were instances of conflict between them
145,new devotional paths in northern india: kabir was a poet-saint of 14th-15th centuries
146,kabir’s verses were compiled in three distinct traditions the kabir bijak is preserved by the kabirpanth in uttar pradesh
147,many of his verses were included in the adi granth sahib
148,"kabir described the ultimate reality as allah, khuda, hazarat and pir"
149,"he also used terms from vedantic traditions, like alakh, nirakar, brahmin, atman, etc"
150,"the message of guru nanak is spelt out in his hymns and teachings, where he advocated a form of nirguna bhakti"
151,"according to guru nanak, the absolute or ‘rab’ had no gender or form"
152,"guru arjan compiled guru nanak’s hymns along with the hymns of baba farid, ravidas and kabir in the adi granth sahib"
153,"later, guru gobind singh included the compositions of guru tegh bahadur and this scripture was known as the ‘guru granth sahib.’ mirabai was a famous woman-poet of bhakti tradition"
154,she composed many songs that were characterised by intense expression of emotions
155,mirabai’s song inspired poor and low caste people in gujarat and rajasthan
156,shankaradeva in the late fifteenth century was a leading proponent of vaishnavism in assam
157,he emphasised the need for ‘naam kirtan’ and encouraged the establishment of ‘satra’ or monas tries and ‘naam ghar’ or prayer halls
158,"religious traditions of northern india: religious traditions included a wide variety, written in several different languages and styles"
159,these ranged from the direct language of the vachanas of basavanna to the persian farman of the mughal emperors
160,"historians have to understand that religious traditions like other traditions, are dynamic and change over time"
161,class 12 history notes chapter 6 important terms: great tradition: the cultural practices of dominant social categories were called the great tradition
162,little tradition: these were that tradition which do not correspond with the great tradition
163,"saguna bhakti: bhakti focused on the worship of shiva, vishnu and devi"
164,nirguna bhakti: worshipping a shapeless or an abstract form of god
165,sangat: religious society under which the followers assembled both in mornings and evening to listen guru’s sermons
166,timeline: 1206 – delhi sultanate was set up 1236 – death of shaikh muinuddin chishti 1469 – birth of guru nanak dev ji 1604 – compilation of guru granth sahib 1699 – foundation of khalsa panth by guru gobind singh ji some major religious teachers in the subcontinent
167,"this timeline indicates the period of the major saints and reforms era 500-800 – ce appar, sambandar, sundaramurti in tamil nadu 800-900 – nammalvar, manikkavachakar, andal, tondaradippodi in tamil nadu the teaching of these saints influence entire the people of india"
168,"1000-1100 – al hujwiri, data ganj bakhsh in the punjab, ramanujacharya in tamil nadu 1100-1200 – basavanna in karnataka 1200-1300 – jnanadeva, muktabai in maharashtra; khwaja muinuddin chishti in rajasthan; bahauddin zakariyya and fariduddin ganj-i shakar in the punjab; qutbuddin bakhtiyar kaki in delhi"
169,"1300-1400 -lai ded in kashmir, lai shahbaz qalandar in sind; nizamuddin auliya in delhi; ramananda in uttar pradesh; chokhamela in maharashtra; sharafuddin yahya maneri in bihar 1400-1500 – kabir, raidas, surdas in uttar pradesh; baba guru nanak in the punjab; vallabhacharya in gujarat; mir sayyid muhammad gesu daraz in gulbarga, shankaradeve in assam; tukaram in maharashtra"
170,"1500-1600 – sri chaitanya in bengal; mirabai in rajasthan; shaikh abdul quddus gangohi, malik muhammad jaisi, tulsidas in uttar pradesh"
171,1600-1700 – shaikh ahmad sirhindi in haryana; miyan mir in the punjab
172,most of the travellers who came to india wrote their accounts
173,some travellers accounts deal with the affairs of the court whereas few accounts are focussed on religious issues
174,"some travellers create about the contemporary style of architecture and monuments, whereas other depicts the social and economic life"
175,the travellers who visited india presented the true picture of indian civilisation in their accounts
176,"al-biruni, a great scholar of central asia, came to india in the 11th century"
177,"languages such as arabic, persian, hebrew and sanskrit were known to him"
178,al-biruni’s most outstanding work ‘kitab-ul-hind’ was written in ghazni and was concerned india
179,al-biruni has thrown a light on caste system prevailing in the hindu society
180,he was fond of travelling and wanted to increase his knowledge by establishing his contact with the people of different countries
181,"the great traveller of morocco died in 1377, but the account written by him ‘rihla’ is of immense wealth"
182,"after returning to morocco in 1354 he (ibn battuta) was ceremoniously welcomed by ‘sultan’, abu iram"
183,sultan abu iram appointed ibijuzayy to help battuta to compile his account ‘rihla’
184,undoubtedly tlihla’ is considered as an invaluable source of indian history in the 14th century
185,francois bernier was a french traveller who came to india in 17th century
186,"francois bernier was a great french doctor, philosopher and an historian who remained in india from 1656 to 1688 and wrote his famous book entitled"
187,abdur razzaq the great iranian scholar came to india in 15th century
188,he was born in 1413 and was appointed the qazi of samarqand under shah rokh khan
189,abdur razzaq stayed in the court of vijayanagara empiredeva raya ii from 1442-1443 and gave a vind description about the vijayanagara kingdom
190,"duarte barbosa was a portugese official in south india, who travelled vijayanagara empire during the reign of krishna deva raya in 1518"
191,"among the other important travellers who came to india in medieval period were antonio monserrate, peter mundy, jean baptisite tavernier, franciso pelesart and nikolo muncci"
192,our knowledge of the past can be enriched through the’descriptions of social life provided by travellers who visited the sub-continent
193,"generally, they recorded everyday activities and practices of common men along with the descriptions of the kings"
194,"al-biruni, ibn battuta and francois bernier were three famous travelers who visited the sub-continent from 11th century to 17th century"
195,al-biruni and the kitab-ul-hind: al-biruni was born in 973 at khwarizm in present day uzbekistan
196,"he was well-versed in different languages like syriac, arabic, persian, hebrew and sanskrit"
197,"in 1017 with the invasion of khwarizm, he arrived in ghazni as a hostage"
198,but gradually developed a liking for the city and interest for india
199,"when the punjab became a part of the ghaznavid empire, he travelled widely in the punjab and other parts of northern india"
200,he spent years in the company of brahmana priests and scholars by learning sanskrit and studying religions and philosophical texts
201,"al-biruni wrote ‘kitab-ul-hind’ in arabic, in a simple and lucid manner"
202,"it is a voluminous text including 80 chapters covering subjects like religion, philosophy, festivals, astronomy, alchemy, manners and customs, social life, weights and measures, iconography, laws and metrology"
203,"al-biruni was familiar with translations and adaptations of sanskrit, pali and prakrit texts into arabic"
204,"however, he was also critical about the ways in which these texts were written, and clearly wanted to improve on them"
205,"al-biruni’s view about indian society: according to al-biruni, sanskrit was so different from arabic and persian that ideas and concepts could not be translated easily from one language to another"
206,al-biruni tried to explain the caste system by comparing it with other societies
207,he tried to suggest that social divisions were not unique to india
208,"al-biruni depended on the vedas, the puranas, the bhagavad gita, the works of patanjali, the manusmriti, etc"
209,"sanskrit texts laid down the rules of caste system from the point of view of brahmanas, but in real life the system was not quite so rigid"
210,ibn battuta and his book rihla: ibn battuta wrote the book ‘rihla’ in arabic
211,this book provides extremely rich and interesting detail about the social and cultural life in the sub-continent in the 14th century
212,"ibn battuta went to far-off places, exploring new worlds and peoples"
213,"before coming to india, he travelled extensively to syria, iraq, persia, yemen, oman, mecca and a few trading ports on the coast of east africa"
214,"when he came to delhi, muhammad-bin- tughlaq was the sultan of delhi"
215,the sultan was impressed by his scholarship and appointed him the ‘qazi’ or judge of delhi
216,"he meticulously recorded his observations about new cultures, peoples, beliefs, values, etc"
217,"during his travel, ibn battuta was attacked by bands of robbers several times and was severely wounded"
218,"ibn battuta spent several years travelling through north africa, west asia, parts of central asia, the indian sub-continent and china and recorded extensively his experiences"
219,"battuta’s description of indian society: in the 14th century, indian sub-continent had its contact from china in the east to north west africa and europe in the west"
220,"ibn battuta travelled through these lands and arrived at delhi in the 14th century after visiting sacred shrines, meeting with rulers, learned men and people who spoke arabic, persian, turkish and other languages"
221,"while describing indian society, ibn battuta explained the unfamiliar things like coconut and paan in a unique way"
222,ibn battuta found the cities of india densely populated and prosperous
223,the bazaars (markets) were the places of economic transactions and also the hub of social and cultural activities
224,"there were masjids and temples to offer prayers and also some bazaars marked with spaces for public performances by dancers, musicians and singers"
225,ibn battuta found indian agriculture very productive because of the fertility of the soil where farmers tend to cultivate two crops a year
226,indian manufacturing flourished due to inter-asian network of trade and commerce
227,these were in great demand in both west asia and south-east asia where artisans and merchants were fetching huge profits
228,"indian textiles, specially cotton cloth, fine muslins, silks, brocade and satin were also in great demand"
229,"ibn battuta was amazed by the efficiency of the postal system which was of two kinds, the horse-post called ‘uluq’ and the foot-post called ‘dawa’"
230,"francois bernier: a french traveller a number of portuguese, dutch, english and french travellers came to india in the 16th and 17th century"
231,"of them, jesuit roberto nobili, duarte barbosa, jean-baptiste tavernier and manucci wrote different aspects of indian society"
232,"french doctor, political philosopher and historian francois bernier spent twelve years (1656 to 1668) in india and was closely associated with the mughal court"
233,bernier travelled to several parts of india and wrote detailed accounts by comparing the situation in india with europe
234,"his works were published in france in 1670-71, and translated into english, dutch, german and italian"
235,"bernier and his view about contemporary society: as compared to ibn battuta, bernier believed in a different intellectual tradition where he was more critical"
236,he compared and contrasted what he saw in india with the situation in europe in general and france in particular
237,"bernier’s book ‘travels in the mughal empire’ is marked by detailed observations, critical insights and reflection"
238,"he constantly compared mughal india with contemporary europe, generally emphasising the superiority of the latter"
239,"according to him, the mughal emperor owned all the lands and distributed it among his nobles and it led to disastrous consequences for economy and society"
240,this perception was supported by most of the travellers of that period
241,"as having no legal right over land, landholders could not pass on their land to their childern"
242,"thus, they avoid any kind of long-term investment in the sustenance and expansion of production"
243,"this crown ownership system of land ruined the agriculture as well as the living standard of all sections of society, except the ruling aristocracy w’hich oppressed the peasant class"
244,"he explained that because of crown ownership of land, indian society has no social group or class between the poorest of the poor and the richest of the rich"
245,bernier described mughal king as the king of “beggars and barbarians”
246,"but abul fazl gave a different account by describing revenue as a claim made by the ruler on his subjects for the protection he provides, rather than as rent on land that he owned"
247,"for instance, french philosopher montesquieu used this account to develop the idea of oriental despotism and in the 19th century, karl marx used this account to develop the asiatic mode of production"
248,he also explained that india had a more complex social reality where artisans had no incentive to improve the quality of their products as profits were appropriated by the state
249,"but at the same time, he added that the country used to exchange its manufacturing goods with the precious metals gold and silver, from outside the sub-continent"
250,whereas he also noticed existence of a prosperous merchant community as well
251,"the different urban groups included mahajans, sheth, nagarsheth, hakim or vaid, pundit or mulla, wakii, painters, architects, musicians, calligraphers, etc"
252,"views of travellers about women: slaves were openly sold in markets with horses, camels and other commodities"
253,i bn battuta mentioned that there was considerable differentiation among slaves
254,slaves were generally used for domestic labour and female slaves were used for the service of sultan and to keep a watch on the nobles
255,"he noted that while some women seemed to embrace death cheerfully, others were forced to die"
256,travellers’ accounts provide us important information of that period but many aspects of social life were unnoticed by them
257,class 12 history notes chapter 5 important terms: hindu: the term “hindu’ was derived from an old persian word which was used in 6th century bce
258,"it referred to the region towards the east of the river sindhu, i.e"
259,antyaja: those people who were included in the major four castes prevalent in the indian society
260,camp towns: those towns which owed their existence and survival to the imperial camp
261,time line: 973 – al-biruni was bom in uzbekistan 1031 – kitub-ul-hind in arabic by al-biruni was published 1048 – death fo al-biruni 1304 – ibn battuta bom at tangier 1333 –  ibn battuta’s reached sindh 1354 – ibn battuta’s return to morocco 1377 – rihla was published 1620 – francisco-pelsart a dutch traveller reached india 1628 – petermundy of england visited india 1656-68 – francois bernier visited india class 12 history notes
262,"after the decline of indus valley civilisation (ivc), many significant changes took place in the indian subcontinent"
263,"vedas (rigveda, samveda, yajurveda and atharveda) and other religious and literary works are an invaluable source to know the history of that period"
264,"in first century bce, many changes took place regarding the last rites of the dead in the central and south india"
265,in this period dead bodies were buried in graves and these graves were surrounded by big stone called as the megaliths
266,in the 6th century bce sixteen big kingdoms known as mahajanapadas came into existence
267,"among these sixteen mahajanapadas were-magadha, koshala, vatsa and avant whichwere the most powerful"
268,"in the 5th century bce, the powerful mahajanapadas turned into powerful empires"
269,"he founded mauryan empire by defeating the last ruler of nanda dynasty, mahajanapadas"
270,megasthenes’s indica and kautilya’s arthashastra provided valuable information about the mauryan empire
271,"after the death of chandragupta maurya’s his son, bindusara became the next ruler who ruled from 298 to 272 bce"
272,"after bindusara, ashoka occupied the throne in 272 and ruled till 231 bce"
273,"after the kalinga war, ashoka gave up policy of war and expansion"
274,inscriptions of ashoka are the most relevant sources to know about mauryan period
275,after the downfall of the gupta dynasty many new dynasties came up and ruled in many parts of india
276,"some of the dynasties were the satvahanas, the shakas, the pandyas, the cholas, cheras and kushanas"
277,"with the emergence of the gupta, a new age started in the ancient indian history"
278,he founded this dynasty in 275 ce and ruled till 300
279,after his death his son ghatotkacha ruled from 300 ce to 320 ce
280,ghatotkacha’s successor chandragupta i sat on the throne in 320 and assumed the title of maharajadhiraja
281,sumudragupta is one of the greatest rulers of india and was the son of chandragupta
282,the gupta ruler established a glorious empire with their untiring efforts
283,this vast empire began to disintegrate at the end of the 5th century ce
284,"development after the harappan civilization: after the decline of the harappan civilization, several developments, including the composition of rigveda took place in indian sub-continent"
285,"evidences of emergence of agricultural settlements, pastoral communities and new modes of disposal of dead were found"
286,the most important development was from 6th century bce on wards when various empires and kingdoms emerged
287,"in 1830, james prinsep deciphered brahmi and kharosthi scripts used in earliest inscriptions and coins"
288,"most of the inscriptions referred a king as piyadassi, meant ‘pleasant to behold’ and a few inscriptions mentioned the king as asoka, one of the most famous rulers known from buddhist texts"
289,"it gave a new direction to investigate into early indian political history, economic and social developments"
290,the mahajanapadas: the earliest states emerged in the 6th century bce which were mentioned in the early buddhist and jaina texts
291,"in which vajji, magadha, koshala, kuru, panchala, gandliara and avanti were most important"
292,"bimbisara, ajatashatru and mahapadma nanda were the most ambitious kings of magadha"
293,magadha had its capital in rajagaha (rajgir) which was fortified and later the capital shifted to pataliputra (patna)
294,mauryan empire: development of magadha resulted in the emergence of the mauryan empire founded by chandragupta maurya in 321 bce
295,"besides sculptures, historians have used a variety of sources like written texts of megasthenes, kautilya (arthashastra), buddhist) jaina and puranic literature, inscriptions of asoka to reconstruct the history of mauryan empire"
296,"pataliputra, taxila, ujjayini, tosali, suvarnagiri were the five major political centres of mauryan empire"
297,the vast empire was not controlled by a uniform administrative system
298,asoka tried to hold his vast empire together by propagating dharma
299,"he appointed special officers, known as the dhamma mahamatta, to spread the message of dhamma"
300,"asokan inscription: in deciphering brahmi, the european scholars and indian scholars compared devanagari and bengali scripts with brahmi script"
301,"after painstaking work, james prinsep was able to decipher asokan brahmi in 1838"
302,kharosthi was deciphered by studying coins which had both greek and kharosthi scripts
303,asoka was mentioned in the inscriptions as ‘devanampiya’ meant ‘beloved of the god’ and ‘piyadassi’ meant ‘pleasant to behold’
304,"from the asokan inscription, we know the anguish of the ruler and the change in his attitude towards warfare"
305,"the limitations of inscriptions: there are technical limitations, like faintly engraved, damaged or missing letters in inscriptional evidence"
306,sometimes what we consider politically and economically significant was not recorded in the inscriptions
307,the content of inscriptions invariably projects the perspective of the person who commissioned these
308,the inscriptions are unable to reflect about the life of different social groups including the marginalised groups
309,emergence of concept kingship: different rulers in the various parts of india established their empire
310,"emergence of new kingdoms: new kingdoms emerged in the deccan and further south, including the cholas, cheras and pandyas"
311,"kushanas ruled over a vast kingdom and considered themselves as god, adopting the title devaputra (son of god)"
312,"histories of the gupta rulers were reconstructed from literature, coins and inscriptions, including prashastis"
313,the prayaga prashasti (also called allahabad pillar inscription) by harisena is the most important source to know about the gupta rulers
314,emergence of new communities: historians examined stories of jatakas and panchatantra to know about the view of common people regarding the rulers
315,"strategies for increasing agricultural production were developed, including use of iron-tipped plough and the use of irrigation through wells and tanks"
316,"advancement of agriculture led to emergence of different communities of people, viz, large landholders, small peasants and landless agricultural labourers"
317,"from early tamil literature and pali texts, categories of people like gahapati (master of a household), vellar (large land owners), uzhavar (plough men) and adimai (slaves) are known"
318,inscription gave details about the land grants to brahmanas and peasants
319,"prabhavati gupta, daughter of chandragupta ii had access to land, which she later granted, but common women had no access to lands"
320,some historians think that land grant is a strategy to extend agriculture to new areas; others thought it as the indication of weakening of political power
321,emergence of towns and trade: several urban centres emerged in the sub-continent from the 6th century’ bce
322,"people living in these areas traded artefacts like fine pottery known as northern black polished ware, ornaments, tools, weapons, vessels, figurines made of gold, silver, copper, bronze, ivory, glass, shell and teracotta"
323,"guilds or shrenis procured raw materials, regulated production and marketed the finished product"
324,"the trade extended beyond the sub-continent, central asia, east and north africa, south-east asia and china"
325,"successful merchants, designated as masattuvan in tamil, set this and satavahanas in prakrit  became very’ rich"
326,"exchanges were facilitated by the introduction of silver, copper and gold coins"
327,"the first coins to bear the names and images of rulers were issued by the indo-greeks, who established control over the north-western part of the sub-continent in 2nd century bce"
328,the first gold coins were issued in 1st century’ ce by the some of the most spectacular gold coins were issued by the gupta rulers
329,"from the 6th century ce on wards, the use of gold coins wras reduced"
330,class 12 history notes chapter 2 important terms: janapada: the land where the people belonging to a clan or tribe had settled
331,dhammo mahanatta: officer appointed by ashoka to spread the message of his dharma
332,matriliny: this term is used when descent is traced through mother
333,"tamilakam: the name of the ancient tamil country which included the parts of tamil nadu, andhra pradesh and kerala"
334,megaliths: stone structures which were built by some communities of south india over the grave of the dead
